id,title,company,city,category,salary_min,salary_max,experience,education,skills,tags,benefits,description,publish_date
J011,AI 算法实习生（NLP 方向）,深瞳数据,杭州,大模型算法,8,12,应届可,硕士,Python|PyTorch|NLP|Transformers,上市公司|数据赛道,转正机会|免费三餐|导师制,"【岗位职责】
1. 参与文本分类、信息抽取等 NLP 模型迭代
2. 协助构建标注数据与评测集
3. 复现论文并在业务数据上验证
【任职要求】
1. 硕士在读，NLP/机器学习相关研究方向
2. 熟悉 PyTorch 与 Transformers 库
3. 每周实习 4 天以上，可连续实习 6 个月
4. 有论文发表或竞赛经历者优先
【技术要求】
1. 掌握经典 NLP 任务与评价指标
2. 熟悉预训练模型微调流程
3. 良好的文献阅读与实验记录习惯",2026-07-25
J012,推荐算法工程师,云脉智能,上海,算法工程师,30,50,3-5年,硕士,Python|Spark|推荐系统|特征工程,B 轮|快速成长,五险一金|年度体检|餐补,"【岗位职责】
1. 负责内容推荐召回/排序链路的模型迭代
2. 设计 A/B 实验并分析核心指标提升
3. 建设实时特征与样本管线
【任职要求】
1. 3 年以上推荐/广告/搜索算法经验
2. 熟悉经典排序模型（DIN/多目标建模等）
3. 有大规模特征工程与在线服务优化经验
4. 数据敏感，业务理解力强
【技术要求】
1. 精通 Python 与 Spark/Flink 数据处理
2. 熟悉 TensorFlow/PyTorch 任一框架
3. 掌握常用召回方案（向量召回/图召回）
4. 了解因果推断或强化学习在推荐中应用者加分",2026-07-29
J013,数据分析师（增长方向）,光合网络,深圳,数据分析,18,30,1-3年,本科,SQL|Python|A/B 实验|Tableau,初创|氛围好,六险一金|下午茶|年度旅游,"【岗位职责】
1. 搭建增长业务指标体系与数据看板
2. 设计并分析 A/B 实验，输出可执行策略建议
3. 支持投放与活动 ROI 归因分析
【任职要求】
1. 1 年以上数据分析经验，统计学/数学背景优先
2. 精通 SQL，熟练使用 Python 做数据处理
3. 有增长或商业化分析经验者优先
4. 表达清晰，能向非技术同学讲清结论
【技术要求】
1. 精通 SQL 窗口函数与性能优化
2. 掌握 Pandas/NumPy 常用分析套路
3. 熟悉假设检验与实验设计方法
4. 会用 Tableau/帆软等可视化工具",2026-07-27
J014,资深数据工程师,深瞳数据,杭州,数据开发,32,52,5年以上,本科,Spark|Flink|数仓建模|Hive,上市公司|数据赛道,股票期权|免费三餐|补充医疗,"【岗位职责】
1. 负责离线/实时数仓架构设计与分层建模
2. 优化核心链路计算与存储成本
3. 建设数据质量监控与血缘体系
【任职要求】
1. 5 年以上数据开发经验，精通数仓方法论
2. 有 PB 级数据平台优化经验者优先
3. 熟悉数据治理与指标体系建设
4. 良好的跨团队协作与项目推动力
【技术要求】
1. 精通 Spark/Flink 计算引擎调优
2. 熟练 Hive/Iceberg 等存储方案
3. 掌握 Airflow/DolphinScheduler 调度体系
4. 了解 OLAP 引擎（ClickHouse/Doris）者加分",2026-08-01
J015,数据产品实习生,云脉智能,上海,数据分析,5,8,应届可,不限,SQL|Excel|数据可视化|沟通能力,B 轮|快速成长,转正机会|餐补|导师带教,"【岗位职责】
1. 协助梳理业务数据需求并输出分析文档
2. 维护日常数据报表与异常监控
3. 参与数据产品原型设计讨论
【任职要求】
1. 本科及以上在读，统计/商科/计算机均可
2. 掌握基础 SQL 与 Excel 数据透视
3. 细心负责，每周实习 3 天以上
4. 对数据产品有兴趣，乐于沟通
【技术要求】
1. 了解常见业务指标定义
2. 会用 SQL 做多表查询
3. 有 BI 工具使用经验者优先",2026-07-22
J016,AI 产品经理,灵析智能,杭州,产品经理,25,45,3-5年,本科,LLM|需求分析|数据分析|Axure,AI 创业|扁平,期权|远程友好|学习基金,"【岗位职责】
1. 负责 AI 助手产品的规划与路线图制定
2. 深入用户场景，设计 Prompt 交互与效果评价标准
3. 协同算法与工程团队推动功能上线与迭代
【任职要求】
1. 3 年以上产品经验，有 AI/工具类产品背景
2. 理解大模型能力边界，能设计合理的产品兜底策略
3. 数据驱动，擅长用实验验证产品假设
4. 优秀的跨团队沟通与文档能力
【技术要求】
1. 熟悉 LLM 应用常见形态（对话/Agent/RAG）
2. 掌握需求拆解与优先级管理方法
3. 熟练使用原型与数据分析工具
4. 有海外产品或开发者工具经验者优先",2026-08-02
J017,产品经理（SaaS 方向）,云脉智能,上海,产品经理,20,35,1-3年,本科,B 端产品|用户研究|数据分析|Figma,B 轮|快速成长,五险一金|年度体检|餐补,"【岗位职责】
1. 负责协作 SaaS 核心模块的需求规划与迭代
2. 走访客户收集反馈，沉淀行业解决方案
3. 跟踪上线数据，持续优化转化与留存
【任职要求】
1. 1 年以上 B 端产品经验，逻辑清晰
2. 熟悉企业软件常见模块（权限/审批/报表）
3. 有客户成功或售前协同经验者优先
4. 抗压能力强，拥抱变化
【技术要求】
1. 掌握用户访谈与竞品分析方法
2. 熟练使用 Figma/Axure 输出原型
3. 具备基础 SQL 能力者加分",2026-07-26
J018,UI/UX 设计师（B 端）,星澜科技,北京,设计师,20,35,1-3年,本科,Figma|设计系统|B 端设计|交互设计,独角兽|技术驱动,六险一金|弹性工作|年度体检,"【岗位职责】
1. 负责数据平台 B 端产品的界面与交互设计
2. 共建并维护设计系统（组件/规范/Token）
3. 参与可用性测试，推动体验度量与改进
【任职要求】
1. 1 年以上 B 端设计经验，作品集体现系统化思维
2. 熟悉设计系统建设方法论
3. 理解前端实现边界，能与工程师高效协作
4. 对数据可视化设计有热情
【技术要求】
1. 精通 Figma 组件化设计与自动布局
2. 熟悉主流设计规范（Ant Design 等）
3. 掌握基础动效设计工具
4. 有暗色主题或 HUD 风格设计经验者加分",2026-07-31
J019,测试开发工程师,恒域金融,上海,测试工程师,20,36,3-5年,本科,Python|自动化测试|接口测试|CI/CD,金融牌照|稳定,七险一金|年终奖|班车,"【岗位职责】
1. 负责支付核心链路的自动化测试体系建设
2. 开发测试工具与数据工厂，提升回归效率
3. 参与性能测试与故障演练
【任职要求】
1. 3 年以上测试经验，至少 1 年测开方向
2. 精通 Python，能独立开发测试框架
3. 熟悉金融业务测试要点者优先
4. 严谨细致，有质量守门人意识
【技术要求】
1. 掌握 Pytest 生态与常用插件
2. 熟悉接口自动化与 Mock 方案
3. 了解 JMeter/Locust 性能测试
4. 有 CI/CD 流水线集成经验者优先",2026-07-24
J020,云原生运维工程师（SRE）,星澜科技,北京,运维工程师,28,48,3-5年,本科,Kubernetes|Prometheus|Go|Linux,独角兽|高并发,六险一金|期权激励|弹性工作,"【岗位职责】
1. 负责生产集群的稳定性保障与容量规划
2. 建设可观测性体系（监控/告警/链路追踪）
3. 推进故障自愈与变更自动化，降低人工干预
【任职要求】
1. 3 年以上运维/SRE 经验，精通 Linux
2. 深入理解 Kubernetes 调度与网络模型
3. 有大规模集群故障处理经验者优先
4. 具备编码能力，反对纯手工运维
【技术要求】
1. 精通 Kubernetes 与 Helm 生态
2. 熟悉 Prometheus/Grafana/ELK 可观测栈
3. 掌握 Go/Python 任一语言开发运维工具
4. 了解服务网格（Istio）者加分",2026-08-03
J021,安全工程师（应用安全）,恒域金融,上海,安全工程师,30,50,3-5年,本科,渗透测试|SDL|代码审计|Python,金融牌照|稳定,七险一金|年终奖|班车,"【岗位职责】
1. 负责核心系统的安全评估与渗透测试
2. 推动 SDL 流程落地，建设安全开发生命周期
3. 跟踪 0day 漏洞并组织应急响应
【任职要求】
1. 3 年以上应用安全经验，熟悉 OWASP Top 10
2. 有金融行业安全合规经验者优先
3. 具备独立代码审计能力（Java/Go 任一）
4. 持有 CISSP/OSCP 等认证者加分
【技术要求】
1. 精通常见 Web 漏洞原理与利用方式
2. 熟悉 BurpSuite 等安全工具链
3. 掌握自动化扫描平台搭建
4. 了解零信任架构与密钥管理",2026-07-23
J022,多模态算法工程师,灵析智能,远程,大模型算法,40,70,3-5年,硕士,PyTorch|多模态|CLIP|Diffusion,AI 创业|扁平,期权|远程友好|学习基金,"【岗位职责】
1. 负责图文多模态模型的预训练与下游任务适配
2. 构建多模态数据清洗与配对管线
3. 支持文档理解、简历解析等业务场景落地
【任职要求】
1. 硕士及以上，计算机视觉/多模态研究方向
2. 熟悉 CLIP/BLIP/Stable Diffusion 等模型体系
3. 有大规模图文数据训练经验者优先
4. 顶会论文发表者优先
【技术要求】
1. 精通 PyTorch 分布式训练
2. 掌握视觉编码器与对比学习方法
3. 熟悉 OCR 与文档结构化技术栈
4. 了解 VLM 评测基准与幻觉缓解方法",2026-08-05
J023,算法工程师（搜索方向）,深瞳数据,杭州,算法工程师,32,55,3-5年,硕士,Elasticsearch|NLP|向量检索|Python,上市公司|数据赛道,股票期权|免费三餐|补充医疗,"【岗位职责】
1. 负责智能搜索引擎的召回与排序优化
2. 建设 Query 理解与语义匹配能力
3. 设计搜索效果评测与 Badcase 治理闭环
【任职要求】
1. 3 年以上搜索/推荐算法经验
2. 熟悉倒排索引与向量检索混合架构
3. 有 NLP 背景，理解语义匹配模型
4. 业务意识强，关注用户体验指标
【技术要求】
1. 精通 Elasticsearch 调优与插件开发
2. 熟悉双塔/交叉编码器训练部署
3. 掌握 ANN 检索（HNSW/IVF）原理
4. 了解 LLM 增强搜索（RAG）实践者加分",2026-07-30
J024,大模型训练平台工程师,星澜科技,北京,后端工程师,40,65,3-5年,本科,Kubernetes|GPU|Python|分布式,独角兽|大模型,六险一金|顶会报销|算力自由,"【岗位职责】
1. 负责大模型训练平台的任务调度与资源编排
2. 优化 GPU 利用率与多租户隔离方案
3. 建设训练监控、断点续训与故障自愈能力
【任职要求】
1. 3 年以上平台/基础设施开发经验
2. 熟悉 Kubernetes 深度定制与调度器扩展
3. 了解 GPU 生态（CUDA/NCCL/RDMA）
4. 有 AI Infra 团队经验者优先
【技术要求】
1. 精通 Go/Python，熟悉云原生开发范式
2. 掌握 Volcano/Kueue 等批调度方案
3. 熟悉分布式存储（Ceph/S3）对接
4. 了解 Slurm 或自研调度系统者加分",2026-08-04
J025,前端工程师（小程序/跨端）,光合网络,深圳,前端工程师,15,26,1-3年,本科,微信小程序|Taro|uni-app|JavaScript,初创|氛围好,六险一金|下午茶|年度旅游,"【岗位职责】
1. 负责电商小程序与跨端页面的开发迭代
2. 优化小程序启动速度与渲染性能
3. 沉淀跨端组件与发布流程
【任职要求】
1. 1 年以上小程序或跨端开发经验
2. 熟悉微信生态能力与审核规范
3. 有电商或营销场景经验者优先
4. 注重细节，追求像素级还原
【技术要求】
1. 掌握 Taro/uni-app 任一跨端框架
2. 熟悉小程序分包、预加载等性能手段
3. 了解 Skyline 渲染模式者加分",2026-07-20
J026,后端工程师（Rust 方向）,深瞳数据,杭州,后端工程师,35,60,3-5年,本科,Rust|高性能|分布式|数据库内核,上市公司|数据赛道,股票期权|免费三餐|补充医疗,"【岗位职责】
1. 参与自研分析型数据库的存储与执行引擎开发
2. 优化向量化执行与 SIMD 加速路径
3. 建设性能基准测试与回归防护体系
【任职要求】
1. 3 年以上系统级开发经验，精通 Rust
2. 理解数据库基本原理（存储/事务/查询优化）
3. 有开源项目贡献经验者优先
4. 极致性能追求者，热爱底层技术
【技术要求】
1. 精通 Rust 所有权模型与异步编程
2. 熟悉 Arrow/DataFusion 生态者加分
3. 掌握 C++ 互操作与性能剖析工具
4. 了解列式存储与压缩编码",2026-08-02
J027,数据标注项目负责人,灵析智能,远程,数据分析,12,20,1-3年,大专,标注规范|质量管理|Excel|沟通协调,AI 创业|扁平,远程友好|学习基金|弹性工作,"【岗位职责】
1. 负责大模型训练数据的标注排期与质量管理
2. 制定标注规范并组织培训与考核
3. 与算法团队对齐数据验收标准
【任职要求】
1. 1 年以上数据标注或项目管理经验
2. 熟悉 LLM 数据标注流程（SFT/偏好对齐）者优先
3. 细致耐心，擅长流程化思考
4. 可远程全职办公
【技术要求】
1. 掌握常用标注平台操作
2. 熟练使用 Excel/飞书多维表格
3. 了解 RLHF 数据要求者加分",2026-07-18
J028,解决方案架构师（AI 方向）,恒域金融,北京,产品经理,40,60,5年以上,本科,售前方案|LLM|架构设计|客户沟通,金融牌照|稳定,七险一金|年终奖|班车,"【岗位职责】
1. 负责金融客户 AI 转型的整体解决方案设计
2. 主导 POC 验证与技术答疑
3. 沉淀行业方案白皮书与标杆案例
【任职要求】
1. 5 年以上解决方案/架构经验，有金融行业背景
2. 理解大模型落地路径与合规要求
3. 出色的方案呈现与客户沟通能力
4. 能适应高频出差
【技术要求】
1. 熟悉企业级架构（微服务/数据中台）
2. 掌握主流 LLM 私有化部署方案
3. 具备信创环境适配经验者加分",2026-08-01
J029,游戏客户端工程师（Unity）,光合网络,深圳,前端工程师,20,38,1-3年,本科,Unity|C#|性能优化|图形渲染,初创|氛围好,项目分红|下午茶|年度旅游,"【岗位职责】
1. 负责休闲游戏客户端核心玩法开发
2. 优化包体大小与低端机适配
3. 参与工具链建设提升迭代效率
【任职要求】
1. 1 年以上 Unity 开发经验，C# 基础扎实
2. 有上线项目经验者优先
3. 热爱游戏，对玩法细节敏感
4. 良好的数学与图形学基础
【技术要求】
1. 掌握 Unity UGUI 与动画系统
2. 熟悉 AssetBundle/Addressables 资源管理
3. 了解 Shader 编写者加分",2026-07-29
J030,嵌入式软件工程师（车载）,恒域金融,上海,后端工程师,25,42,3-5年,本科,C++|RTOS|CAN 总线|车载通信,金融牌照|稳定,七险一金|年终奖|班车,"【岗位职责】
1. 负责车载网关与座舱中间件软件开发
2. 参与 AUTOSAR 架构适配与诊断协议实现
3. 配合台架与实车联调，保障交付质量
【任职要求】
1. 3 年以上嵌入式开发经验，精通 C/C++
2. 熟悉 RTOS 任务调度与内存管理
3. 有车载网络（CAN/LIN/以太网）经验
4. 了解功能安全 ISO26262 者加分
【技术要求】
1. 掌握 UDS 诊断协议栈
2. 熟悉 SOME/IP 等车载通信中间件
3. 具备 HIL 测试与问题定位能力",2026-07-17
J031,AI 产品运营（内容方向）,云脉智能,上海,产品经理,12,20,应届可,本科,内容运营|数据分析|Prompt|用户增长,B 轮|快速成长,五险一金|餐补|年度体检,"【岗位职责】
1. 负责 AI 写作助手的内容生态建设与用户增长
2. 策划 Prompt 模板活动并跟踪转化数据
3. 收集用户反馈，推动产品与模型侧优化
【任职要求】
1. 本科及以上，1 年内经验或应届均可
2. 网感好，熟悉主流内容平台玩法
3. 会写 Prompt，是 AI 工具重度用户
4. 数据敏感，执行力强
【技术要求】
1. 掌握基础数据分析（Excel/SQL）
2. 有自媒体运营成功案例者优先
3. 了解 AIGC 内容合规要求",2026-07-26
J032,机器人算法工程师（SLAM）,深瞳数据,杭州,算法工程师,35,58,3-5年,硕士,SLAM|C++|ROS|传感器融合,上市公司|数据赛道,股票期权|免费三餐|补充医疗,"【岗位职责】
1. 负责移动机器人定位与建图算法研发
2. 优化多传感器融合（激光/视觉/IMU）方案
3. 支持复杂场景下的鲁棒性与精度提升
【任职要求】
1. 硕士及以上，机器人/自动化相关专业
2. 熟悉激光或视觉 SLAM 主流框架
3. 有实际机器人产品落地经验者优先
4. 扎实的 C++ 与数学基础
【技术要求】
1. 精通 LIO-SAM/ORB-SLAM 等开源方案
2. 熟悉 ROS/ROS2 开发体系
3. 掌握因子图优化与滤波理论
4. 了解导航规划（A*/TEB）者加分",2026-08-03
J033,全栈工程师（AI 工具）,灵析智能,远程,后端工程师,28,48,3-5年,本科,Next.js|FastAPI|LLM|PostgreSQL,AI 创业|扁平,期权|远程友好|学习基金,"【岗位职责】
1. 独立负责 AI 效率工具的全栈开发与迭代
2. 设计流式交互与 Agent 编排体验
3. 建设埋点与用户反馈闭环
【任职要求】
1. 3 年以上全栈经验，能独立 Own 完整功能
2. 熟悉现代前端框架与 Python 后端
3. 有 LLM 应用开发实战经验
4. 产品意识强，追求极致体验
【技术要求】
1. 精通 Next.js + FastAPI 技术栈
2. 熟悉 SSE/WebSocket 流式方案
3. 掌握 PostgreSQL 建模与缓存设计
4. 有开源项目或独立产品者优先",2026-08-05
J034,技术支持工程师（ToB）,云脉智能,上海,运维工程师,12,20,应届可,大专,Linux|SQL|客户沟通|排查问题,B 轮|快速成长,五险一金|餐补|年度体检,"【岗位职责】
1. 负责企业客户的技术支持与问题排查
2. 编写故障复盘与知识库文档
3. 收集一线反馈推动产品改进
【任职要求】
1. 计算机相关专业，应届或 1 年内经验
2. 掌握 Linux 基础命令与 SQL 查询
3. 服务意识好，沟通有耐心
4. 能适应轮班响应机制
【技术要求】
1. 了解 HTTP 协议与常见 Web 故障排查
2. 会用抓包与日志分析工具
3. 有 SaaS 产品支持经验者优先",2026-07-16
